Year,Age,Sex,Weight,Count
2016,9,Male,12,0
2016,9,Male,13,0
2016,9,Male,14,0
2016,9,Male,15,0
2016,9,Male,16,0
2016,9,Male,17,0.1
2016,9,Male,18,0.2
2016,9,Male,19,0.7
2016,9,Male,20,2.5
2016,9,Male,21,7.5
2016,9,Male,22,18.9
2016,9,Male,23,32.8
2016,9,Male,24,47.9
2016,9,Male,25,68.3
2016,9,Male,26,78.3
2016,9,Male,27,91.8
2016,9,Male,28,92.1
2016,9,Male,29,81.4
2016,9,Male,30,77.9
2016,9,Male,31,62.3
2016,9,Male,32,54.2
2016,9,Male,33,42.1
2016,9,Male,34,39.9
2016,9,Male,35,32.1
2016,9,Male,36,25.3
2016,9,Male,37,22.3
2016,9,Male,38,19.7
2016,9,Male,39,15.9
2016,9,Male,40,13.2
2016,9,Male,41,12
2016,9,Male,42,8.4
2016,9,Male,43,8.7
2016,9,Male,44,7.4
2016,9,Male,45,5.1
2016,9,Male,46,4.7
2016,9,Male,47,3.9
2016,9,Male,48,3.9
2016,9,Male,49,3.4
2016,9,Male,50,3.1
2016,9,Male,51,1.8
2016,9,Male,52,2.1
2016,9,Male,53,1.7
2016,9,Male,54,1.5
2016,9,Male,55,1.4
2016,9,Male,56,0.6
2016,9,Male,57,0.8
2016,9,Male,58,0.4
2016,9,Male,59,0.5
2016,9,Male,60,0.6
2016,9,Male,61,0.2
2016,9,Male,62,0.1
2016,9,Male,63,0.2
2016,9,Male,64,0
2016,9,Male,65,0.1
2016,9,Male,66,0.1
2016,9,Male,67,0
2016,9,Male,68,0
2016,9,Male,69,0.1
2016,9,Male,70,0.1
2016,9,Male,71,0
2016,9,Male,72,0
2016,9,Male,73,0
2016,9,Male,74,0
2016,9,Male,75,0
2016,9,Male,76,0
2016,9,Male,77,0
2016,9,Male,78,0
2016,9,Male,79,0
2016,9,Male,80,0
2016,9,Male,81,0
2016,9,Male,82,0
2016,9,Male,83,0
2016,9,Male,84,0
2016,9,Male,85,0
2016,9,Male,86,0
2016,9,Male,87,0
2016,9,Male,88,0
2016,9,Male,89,0
2016,9,Male,90,0
2016,9,Male,91,0
2016,9,Male,92,0
2016,9,Male,93,0
2016,9,Male,94,0
2016,9,Male,95,0
2016,9,Male,96,0
2016,9,Male,97,0
2016,9,Male,98,0
2016,9,Male,99,0
2016,9,Male,100,0
2016,9,Male,101,0
2016,9,Male,102,0
2016,9,Male,103,0
2016,9,Male,104,0
2016,9,Male,105,0
2016,9,Male,106,0
2016,9,Male,107,0
2016,9,Male,108,0
2016,9,Male,109,0
2016,9,Male,110,0
2016,9,Male,111,0
2016,9,Male,112,0
2016,9,Male,113,0
2016,9,Male,114,0
2016,9,Male,115,0
2016,9,Male,116,0
2016,9,Male,117,0
2016,9,Male,118,0
2016,9,Male,119,0
2016,9,Male,120,0
2016,9,Male,121,0
2016,9,Male,122,0
2016,9,Male,123,0
2016,9,Male,124,0
2016,9,Male,125,0
2016,9,Male,11,0
